id,issn,title,author,page,volume,number,publish_date,link
112,08338582,xxx has facilitated yyy,朱慧艳，钟凌春，,331-355,103,1,1990-10-26,www.xxxxx.com
113,62519347,论 xxxx,朱慧艳，高丝柳，汪清妙，黄莞尔，,660-688,615,6,2009-01-26,www.xxxxx.com
114,54663096,xxx has facilitated yyy,朱慧艳，毛良骥，陆项禹，卢燕楠，,802-835,488,7,1998-11-11,www.xxxxx.com
115,66914660,xxx improves yyy,朱慧艳，周雨晴，刘亦瑶，卢燕楠，,262-270,199,4,1990-10-16,www.xxxxx.com
116,98332250,xxxx 对 yyy 有重大影响,朱慧艳，龙英豪，贺蝾婷，贾弘雅，,556-571,469,1,2017-12-18,www.xxxxx.com
117,09987703,论 xxxx,朱慧艳，范星宇，蒋柳思，钱承志，,53-97,739,9,2003-02-23,www.xxxxx.com
118,07473169,xxx improves yyy,朱慧艳，常嘉赐，,730-770,432,8,2018-03-07,www.xxxxx.com
119,66041915,论 xxxxx 在 xxxxx 中的应用,朱慧艳，孙洲裴，韩乐正，任浩气，,426-437,82,11,2011-06-24,www.xxxxx.com
120,67624666,xxx 在 zzz 时促进了 yyy,石友儿，,362-405,140,6,1999-06-22,www.xxxxx.com
121,07473169,xxx 在 zzz 时促进了 yyy,石友儿，顾文敏，,735-742,82,11,2003-10-10,www.xxxxx.com
122,45683228,论 xxxxx 在 xxxxx 中的应用,石友儿，,15-63,263,10,2021-08-27,www.xxxxx.com
123,99917471,xxxx 对 yyy 有重大影响,石友儿，段诗双，姜永康，,994-1014,299,12,1998-08-06,www.xxxxx.com
124,99612153,论 xxxxx 在 xxxxx 中的应用,石友儿，薛秀敏，董昊天，丁如风，,911-954,420,1,2006-11-24,www.xxxxx.com
125,59785575,xxxxx 小议,石友儿，漕俊郎，赵同方，,292-326,500,10,1994-03-22,www.xxxxx.com
126,19163613,xxx has facilitated yyy,石友儿，石曼易，钱囡囡，,187-201,559,5,1992-03-28,www.xxxxx.com
127,40863783,xxxxx 浅析,石友儿，韩明轩，赖语风，,388-426,714,6,1998-03-24,www.xxxxx.com
128,93221432,xxxxx 浅析,石友儿，于俊雄，袁千秋，,616-655,180,4,2018-09-15,www.xxxxx.com
129,66521703,xxxxx 小议,石友儿，魏坚白，谭圣杰，,46-66,599,2,2022-10-12,www.xxxxx.com
130,23953375,xxx 在 zzz 时促进了 yyy,石友儿，刘博雅，朱锐藻，廖敏学，,621-650,730,7,2022-09-25,www.xxxxx.com
131,21626833,论 xxxxx 在 xxxxx 中的应用,石友儿，,740-788,715,4,2019-03-09,www.xxxxx.com
132,66041915,xxx 在 zzz 时促进了 yyy,石友儿，彭映雪，郭子琪，,822-848,464,2,2019-09-25,www.xxxxx.com
133,23953375,xxxxx 刍议,石友儿，,868-914,37,2,2019-10-24,www.xxxxx.com
134,12183892,论 xxxx,石友儿，段湘怡，江忠燕，,55-64,531,5,2010-08-12,www.xxxxx.com
135,23176989,xxx has facilitated yyy,石友儿，方阳伯，,449-468,616,2,2001-05-16,www.xxxxx.com
136,19012303,xxx 在 zzz 时促进了 yyy,石友儿，石友儿，武之双，,97-140,946,12,2022-06-15,www.xxxxx.com
137,77255062,xxxxx 刍议,石友儿，崔锐逸，,617-638,542,9,1998-12-22,www.xxxxx.com
138,19012303,xxxxx 浅析,石友儿，孔子安，,623-656,219,5,2006-09-10,www.xxxxx.com
139,99612153,xxxxx 小议,石友儿，,114-157,725,8,2015-12-09,www.xxxxx.com
140,45500799,xxxxx 小议,石友儿，易幼翠，任浩气，,10-34,192,8,2012-10-11,www.xxxxx.com
141,85118632,xxxxx 刍议,石友儿，文正卿，郑英叡，,155-176,452,2,2001-06-26,www.xxxxx.com
142,19012303,论 xxxxx 在 xxxxx 中的应用,石友儿，金冰蓝，,595-606,315,12,1998-09-09,www.xxxxx.com
143,99612153,论 xxxxx 在 xxxxx 中的应用,石友儿，陈顺美，贾弘雅，,693-728,743,12,2012-12-23,www.xxxxx.com
144,33536340,论 xxxxx 在 xxxxx 中的应用,石友儿，,663-701,163,9,2009-11-11,www.xxxxx.com
145,99917471,xxx has facilitated yyy,石友儿，,780-805,831,3,2020-08-21,www.xxxxx.com
146,86310410,xxx has facilitated yyy,石友儿，梁良弼，蒋南晴，,808-857,332,12,2001-11-08,www.xxxxx.com
147,67624666,xxxxx 刍议,石友儿，崔锐逸，,467-488,387,6,2023-09-13,www.xxxxx.com
148,66041915,xxxxx 刍议,石友儿，贾弘雅，马建明，,296-331,55,1,2006-08-24,www.xxxxx.com
149,62519347,xxx improves yyy,石友儿，,982-994,367,1,1993-05-28,www.xxxxx.com
150,66521703,xxx improves yyy,石友儿，汤英耀，,233-249,420,12,2017-06-20,www.xxxxx.com
151,66041915,论 xxxxx 在 xxxxx 中的应用,石友儿，,371-387,538,7,2003-12-22,www.xxxxx.com
152,19163613,xxxx 对 yyy 有重大影响,石友儿，尹卓逸，漕亦绿，,87-108,678,6,2022-08-21,www.xxxxx.com
153,66521703,论 xxxx,石友儿，康吉月，秦志义，,62-108,971,3,1993-08-05,www.xxxxx.com
154,99917471,xxxxx 浅析,石友儿，龚奇胜，程雪柳，龙宏儒，,605-646,866,5,1999-07-08,www.xxxxx.com
155,45500799,xxxxx 浅析,石友儿，谢姣丽，郑泰华，陈顺美，,322-352,915,6,2015-07-04,www.xxxxx.com
156,68630103,xxx 在 zzz 时促进了 yyy,石友儿，尹弘致，石莞尔，徐和韵，,595-613,38,2,2002-10-04,www.xxxxx.com
157,23953375,xxx improves yyy,石友儿，何建茗，毛良骥，罗妍茜，,890-910,727,9,2004-05-14,www.xxxxx.com
158,08338582,xxx has facilitated yyy,石友儿，,847-873,861,8,2011-09-09,www.xxxxx.com
159,19012303,xxxxx 小议,石友儿，张乐成，,21-60,584,8,2015-06-19,www.xxxxx.com
160,58698718,论 xxxxx 在 xxxxx 中的应用,蒋柳思，廖阳炎，,766-799,236,3,1995-10-04,www.xxxxx.com
161,19163613,xxx has facilitated yyy,蒋柳思，孙雁卉，邹坚成，,422-466,834,3,2013-04-20,www.xxxxx.com
162,58698718,xxx improves yyy,蒋柳思，马佳思，卢阳文，,240-285,746,12,2015-07-25,www.xxxxx.com
163,99917471,论 xxxx,蒋柳思，孙博简，郝修雅，,191-228,795,11,1994-12-21,www.xxxxx.com
164,99917471,xxxxx 浅析,蒋柳思，刘亦瑶，易俊人，,162-207,730,5,2004-02-16,www.xxxxx.com
165,19012303,xxxxx 浅析,蒋柳思，胡承宣，魏紫易，文鹏程，,327-373,779,2,2014-04-10,www.xxxxx.com
166,25504359,xxx 在 zzz 时促进了 yyy,蒋柳思，龚嘉许，,676-700,497,2,1990-05-12,www.xxxxx.com
167,08338582,xxx improves yyy,蒋柳思，唐鸿畅，余元纬，,796-839,512,5,1993-08-17,www.xxxxx.com
168,43545801,论 xxxx,蒋柳思，白甄梨，顾嘉颖，孔子安，,951-969,543,7,2016-12-17,www.xxxxx.com
169,57060012,xxxxx 浅析,蒋柳思，,405-426,157,9,2017-03-21,www.xxxxx.com
170,25504359,xxxxx 小议,蒋柳思，,838-875,76,3,2016-09-07,www.xxxxx.com
171,98332250,xxxx 对 yyy 有重大影响,蒋柳思，孙锦程，武正卿，徐和韵，,53-75,973,5,2018-09-06,www.xxxxx.com
172,77255062,xxx 在 zzz 时促进了 yyy,蒋柳思，,900-913,355,6,1993-05-15,www.xxxxx.com
173,85118632,xxx improves yyy,蒋柳思，杨文康，,767-780,222,4,2000-09-19,www.xxxxx.com
174,66521703,论 xxxx,蒋柳思，谢姣丽，贺蝾婷，常鹏涛，,428-477,708,7,2004-10-28,www.xxxxx.com
175,77255062,xxx 在 zzz 时促进了 yyy,蒋柳思，,609-636,204,2,1998-02-13,www.xxxxx.com
176,62519347,xxx 在 zzz 时促进了 yyy,蒋柳思，尹良吉，冯鸿哲，,431-468,330,5,1992-05-06,www.xxxxx.com
177,86310410,xxxxx 小议,蒋柳思，邓嘉德，石卷玉，姚飞鹏，,348-376,278,11,1995-01-06,www.xxxxx.com
178,93221432,论 xxxxx 在 xxxxx 中的应用,蒋柳思，,286-320,578,11,2011-12-21,www.xxxxx.com
179,23176989,论 xxxxx 在 xxxxx 中的应用,蒋柳思，崔彭祖，马阳阳，,624-635,359,2,2004-10-07,www.xxxxx.com
180,93221432,xxx 在 zzz 时促进了 yyy,蒋柳思，徐和韵，王谷南，,252-266,522,8,1997-07-16,www.xxxxx.com
181,66041915,xxxx 对 yyy 有重大影响,蒋柳思，,182-203,382,12,2011-12-03,www.xxxxx.com
182,96015863,xxx has facilitated yyy,蒋柳思，,495-528,722,8,2009-01-20,www.xxxxx.com
183,93221432,xxxxx 小议,蒋柳思，顾恺乐，,584-600,94,6,2003-10-01,www.xxxxx.com
184,23953375,xxx has facilitated yyy,蒋柳思，宋振国，丁文林，任阳煦，,464-483,761,6,1996-09-04,www.xxxxx.com
185,40863783,xxx has facilitated yyy,蒋柳思，常翠萍，,501-524,525,10,2008-06-08,www.xxxxx.com
186,26988107,论 xxxxx 在 xxxxx 中的应用,蒋柳思，蒋才艺，常寒凝，崔锐逸，,545-570,727,1,1991-01-03,www.xxxxx.com
187,64932775,xxx has facilitated yyy,蒋柳思，常寒凝，何建茗，,965-988,60,1,2004-03-04,www.xxxxx.com
188,45683228,xxx improves yyy,蒋柳思，陆翠柔，胡承宣，,372-408,477,1,2006-09-16,www.xxxxx.com
189,57060012,论 xxxxx 在 xxxxx 中的应用,蒋柳思，,304-340,322,11,2018-08-06,www.xxxxx.com
190,66521703,论 xxxx,蒋柳思，杜元良，龙俊发，,202-237,239,8,1991-05-23,www.xxxxx.com
191,96015863,xxx has facilitated yyy,蒋柳思，冯晏如，金冰蓝，秦光耀，,932-967,65,4,2023-09-21,www.xxxxx.com
192,57060012,xxxxx 小议,蒋柳思，陆项禹，漕晓洁，许兴学，,55-84,984,11,2006-02-23,www.xxxxx.com
193,68630103,xxx has facilitated yyy,蒋柳思，武正卿，,282-306,759,12,2006-07-27,www.xxxxx.com
194,08338582,xxxx 对 yyy 有重大影响,蒋柳思，叶英达，,147-167,650,10,1999-09-09,www.xxxxx.com
195,99917471,论 xxxxx 在 xxxxx 中的应用,蒋柳思，龙圣杰，于俊雄，韩友琴，,532-571,601,7,2014-03-19,www.xxxxx.com
196,99917471,xxxxx 浅析,蒋柳思，阎千怡，易温文，谢嘉庆，,578-605,941,4,2009-01-14,www.xxxxx.com
197,70754113,xxx improves yyy,蒋柳思，陈顺美，姚飞鹏，常鹏涛，,477-481,991,7,2015-08-07,www.xxxxx.com
198,64932775,论 xxxx,蒋柳思，,380-386,541,5,2017-08-08,www.xxxxx.com
199,58698718,论 xxxxx 在 xxxxx 中的应用,蒋柳思，,250-256,758,9,2001-03-12,www.xxxxx.com
200,68630103,xxxxx 小议,何玄清，谢西华，,690-701,194,3,2006-12-05,www.xxxxx.com
201,98332250,xxxxx 小议,何玄清，田才英，,665-681,65,10,1999-12-22,www.xxxxx.com
202,64932775,论 xxxx,何玄清，常嘉赐，罗妍茜，白清婉，,838-859,160,7,1995-10-14,www.xxxxx.com
203,96015863,xxx improves yyy,何玄清，吕锦文，,400-439,833,7,2021-01-27,www.xxxxx.com
204,96015863,xxxx 对 yyy 有重大影响,何玄清，任明熙，易幼翠，,752-766,435,1,2019-08-25,www.xxxxx.com
205,19012303,xxx 在 zzz 时促进了 yyy,何玄清，文国琴，,37-70,744,12,1995-10-27,www.xxxxx.com
206,86310410,论 xxxx,何玄清，,310-344,681,9,2016-06-10,www.xxxxx.com
207,85118632,论 xxxxx 在 xxxxx 中的应用,何玄清，黎幸瑶，彭乐容，谢西华，,849-864,719,8,2008-01-19,www.xxxxx.com
208,66041915,xxx 在 zzz 时促进了 yyy,何玄清，李宏旷，万恨天，徐文曜，,439-465,686,11,1996-11-02,www.xxxxx.com
209,23176989,xxx improves yyy,何玄清，黄莞尔，,957-980,120,2,2009-09-27,www.xxxxx.com
210,19012303,xxxx 对 yyy 有重大影响,何玄清，石修真，,842-859,554,6,2003-10-03,www.xxxxx.com
211,19163613,xxx has facilitated yyy,何玄清，白峻熙，卢宏浚，黎纪颖，,693-735,514,9,1993-12-22,www.xxxxx.com
212,54663096,xxxxx 浅析,何玄清，龙宏儒，郭子琪，胡承宣，,873-907,265,6,2003-04-03,www.xxxxx.com
213,19163613,xxx improves yyy,何玄清，,441-487,937,9,2019-03-04,www.xxxxx.com
214,99917471,论 xxxx,何玄清，彭俊悟，秦英光，,666-689,637,8,2002-03-19,www.xxxxx.com
215,09987703,xxxxx 浅析,何玄清，,869-877,734,7,2015-02-23,www.xxxxx.com
216,08338582,xxxxx 浅析,何玄清，高凡阳，潘奕叶，戴泰初，,861-872,221,4,2009-02-03,www.xxxxx.com
217,21626833,论 xxxx,何玄清，潘津文，,483-530,224,7,2023-10-09,www.xxxxx.com
218,97557353,xxxxx 浅析,何玄清，,493-496,836,7,2012-12-20,www.xxxxx.com
219,12183892,xxx 在 zzz 时促进了 yyy,何玄清，许芷蕊，,768-811,750,3,2011-11-23,www.xxxxx.com
220,58698718,xxx has facilitated yyy,何玄清，顾明亮，尹卓逸，廖浩旷，,845-893,647,8,1993-07-24,www.xxxxx.com
221,46854266,xxxxx 小议,何玄清，孔冷菱，,856-892,572,7,2019-04-26,www.xxxxx.com
222,64932775,xxxxx 小议,何玄清，任汉玲，,181-193,958,1,1999-08-12,www.xxxxx.com
223,96015863,xxxxx 小议,何玄清，何玄清，金冰蓝，陆翠柔，,456-481,85,4,2014-10-21,www.xxxxx.com
224,57060012,论 xxxxx 在 xxxxx 中的应用,何玄清，何玄清，彭映雪，,770-809,492,10,2018-06-28,www.xxxxx.com
225,70754113,xxx 在 zzz 时促进了 yyy,何玄清，汪温凉，董昊天，,349-355,283,2,2014-12-26,www.xxxxx.com
226,66041915,xxxxx 刍议,何玄清，毛晗蕊，石莞尔，,283-309,459,1,1993-07-23,www.xxxxx.com
227,08338582,xxxx 对 yyy 有重大影响,何玄清，,179-194,223,9,1994-08-16,www.xxxxx.com
228,85118632,xxx 在 zzz 时促进了 yyy,何玄清，,112-147,457,6,2012-10-07,www.xxxxx.com
229,93221432,xxxxx 小议,何玄清，段湘怡，,11-24,876,1,2020-07-19,www.xxxxx.com
230,25504359,xxxxx 刍议,何玄清，,566-616,166,10,1992-02-12,www.xxxxx.com
231,21626833,论 xxxx,何玄清，杜秀华，韩乐正，秦良策，,623-652,877,5,2004-02-10,www.xxxxx.com
