id,applicant,isbn,status
223,0501011,13276588,1
224,0501011,55660186,1
225,0501011,74377961,1
226,0501011,09571381,1
227,0501011,80234630,1
228,0501011,24065261,1
229,0501011,75369389,1
230,0501011,79843177,1
231,0501011,92536162,1
232,0501011,92542883,1
233,0501011,75220578,1
234,0501011,57791780,1
235,0501011,78382337,1
236,0501011,43454741,1
237,0501011,66078439,1
238,0501011,04565022,1
239,0501011,27364881,1
240,0001012,55570257,1
241,0001012,56173950,1
242,0001012,90316182,1
243,0001012,92174682,1
244,0001012,96806005,1
245,0001012,22381949,1
246,0001012,42843865,1
247,0001012,70846497,1
248,0001012,86797557,1
249,0001012,27922607,1
250,0001012,62556736,1
251,0001012,21118934,1
252,0001012,40763673,1
253,0001012,37644309,1
254,0001012,56415820,1
255,0001012,41762467,1
256,0001012,69582122,1
257,0001012,53687776,1
258,0001012,65312013,1
259,0001012,46991494,1
260,0101013,85201073,1
261,0101013,83095431,1
262,0101013,33649091,1
263,0101013,68646333,1
264,0101013,82116590,1
265,0101013,09186633,1
266,0101013,94264246,1
267,0101013,63727863,1
268,0101013,72331189,1
269,0101013,21160510,1
270,0101013,61671037,1
271,0101013,75801462,1
272,0101013,59841051,1
273,0101013,09751140,1
274,0101013,10552651,1
275,0101013,95944302,1
276,0101013,28283149,1
277,0101013,94318298,1
278,0101013,50848695,1
279,0101013,90973734,1
280,0201014,30773655,1
281,0201014,96229260,1
282,0201014,01797546,1
283,0201014,47523871,1
284,0201014,01044897,1
285,0201014,95489570,1
286,0201014,64942821,1
287,0201014,00952639,1
288,0201014,47107807,1
289,0201014,83117112,1
290,0201014,03009450,1
291,0201014,14136021,1
292,0201014,71828200,1
293,0201014,96033913,1
294,0201014,03986713,1
295,0201014,09831867,1
296,0201014,33176019,1
297,0201014,27194113,1
298,0201014,80378945,1
299,0201014,56641363,1
300,0301015,25742329,1
301,0301015,03774595,1
302,0301015,61557759,1
303,0301015,16008423,1
304,0301015,42696204,1
305,0301015,47307768,1
306,0301015,25650539,1
307,0301015,53063279,1
308,0301015,66433844,1
309,0301015,75744749,1
310,0301015,80433001,1
311,0301015,42029611,1
312,0301015,25548510,1
313,0301015,24031125,1
314,0301015,99377665,1
315,0301015,11745673,1
316,0301015,36060245,1
317,0301015,65330029,1
318,0301015,39775224,1
319,0301015,43554412,1
320,0401016,07169239,1
321,0401016,44109443,1
322,0401016,47266085,1
323,0401016,53506404,1
324,0401016,58705818,1
325,0401016,88469268,1
326,0401016,56516525,1
327,0401016,96487244,1
328,0401016,45340272,1
329,0401016,54272332,1
330,0401016,20629582,1
331,0401016,95024866,1
332,0401016,95430972,1
333,0401016,21477200,1
334,0401016,72932794,1
335,0401016,68213442,1
336,0401016,62615818,1
337,0401016,66450892,1
338,0401016,08712911,1
339,0401016,24396426,1
340,0501017,15920383,1
341,0501017,60276157,1
342,0501017,07362449,1
343,0501017,90440375,1
344,0501017,79475614,1
345,0501017,48468949,1
346,0501017,37564400,1
347,0501017,50565529,1
348,0501017,17786319,1
349,0501017,11654232,1
350,0501017,08016470,1
351,0501017,22061513,1
352,0501017,30733307,1
353,0501017,71156384,1
354,0501017,52007407,1
355,0501017,72811688,1
356,0501017,14410656,1
357,0501017,17951853,1
358,0501017,39215561,1
359,0501017,82703103,1
360,0001018,56744178,1
361,0001018,95594239,1
362,0001018,74130874,1
363,0001018,28620053,1
364,0001018,35604540,1
365,0001018,24938227,1
366,0001018,61129922,1
367,0001018,80132558,1
368,0001018,72730400,1
369,0001018,63600882,1
370,0001018,68320766,1
371,0001018,58875403,1
372,0001018,60226967,1
373,0001018,04287775,1
374,0001018,15358508,1
375,0001018,13573021,1
376,0001018,17347222,1
377,0001018,78394935,1
378,0001018,36197462,1
379,0001018,42905249,1
380,0101019,65931552,1
381,0101019,64433022,1
382,0101019,07329463,1
383,0101019,42277454,1
384,0101019,70124963,1
385,0101019,18663739,1
386,0101019,79933436,1
387,0101019,86382000,1
388,0101019,07578176,1
389,0101019,30005651,1
390,0101019,11160058,1
391,0101019,60445301,1
392,0101019,41547094,1
393,0101019,84078226,1
394,0101019,25885858,1
395,0101019,34784021,1
396,0101019,76279125,1
397,0101019,72053523,1
398,0101019,54797504,1
399,0101019,10287786,1
400,0201020,57979548,1
401,0201020,77812102,1
402,0201020,40158943,1
403,0201020,93466706,1
404,0201020,43016532,1
405,0201020,02364826,1
406,0201020,25040358,1
407,0201020,26871833,1
408,0201020,29599282,1
409,0201020,79467889,1
410,0201020,03916112,1
411,0201020,74309849,1
412,0201020,97150774,1
413,0201020,70215744,1
414,0201020,09895377,1
415,0201020,62288292,1
416,0201020,80633774,1
417,0201020,77399431,1
418,0201020,84589688,1
419,0201020,87068979,1
420,0301021,22145444,1
421,0301021,12663690,1
422,0301021,31137691,1
423,0301021,82808125,1
424,0301021,17994664,1
425,0301021,83442290,1
426,0301021,28015727,1
427,0301021,89785620,1
428,0301021,06381420,1
429,0301021,11257641,1
430,0301021,90312231,1
431,0301021,48121733,1
432,0301021,49029477,1
433,0301021,54307165,1
434,0301021,21750809,1
435,0301021,42148472,1
436,0301021,65583541,1
437,0301021,36756440,1
438,0301021,40972011,1
439,0301021,51226485,1
440,0401022,24305177,1
441,0401022,61589458,1
442,0401022,11102203,1
443,0401022,51732944,1
444,0401022,55118362,1
445,0401022,91151902,1
446,0401022,33373534,1
447,0401022,39173120,1
448,0401022,24482112,1
449,0401022,28418379,1
450,0401022,36287721,1
451,0401022,07521038,1
452,0401022,65796737,1
453,0401022,25764748,1
454,0401022,03149324,1
455,0401022,71493399,1
456,0401022,97781133,1
457,0401022,57449578,1
458,0401022,77406808,1
459,0401022,43407768,1
460,0501023,49106796,1
461,0501023,36771358,1
462,0501023,37957757,1
463,0501023,24678497,1
464,0501023,42569053,1
465,0501023,27564407,1
466,0501023,50398322,1
467,0501023,02403794,1
468,0501023,88084446,1
469,0501023,02056141,1
470,0501023,62153845,1
471,0501023,08475346,1
472,0501023,12416885,1
473,0501023,51918671,1
474,0501023,71359497,1
475,0501023,73287096,1
476,0501023,33960771,1
477,0501023,81876904,1
478,0501023,76831039,1
479,0501023,16241932,1
480,0001024,15727333,1
481,0001024,71877052,1
482,0001024,10605511,1
483,0001024,17361854,1
484,0001024,18505056,1
485,0001024,87625389,1
486,0001024,10726937,1
487,0001024,50627445,1
488,0001024,07285445,1
489,0001024,32944749,1
490,0001024,05717490,1
491,0001024,37496752,1
492,0001024,09322150,1
493,0001024,53517299,1
494,0001024,56641819,1
495,0001024,86320170,1
496,0001024,06247591,1
497,0001024,91126956,1
498,0001024,29892432,1
499,0001024,62867434,1
500,0101025,39335455,1
501,0101025,60460743,1
502,0101025,18354177,1
503,0101025,70061996,1
504,0101025,82498294,1
505,0101025,17226234,1
506,0101025,63438284,1
507,0101025,47057892,1
508,0101025,08140433,1
509,0101025,89461028,1
510,0101025,32254383,1
511,0101025,81432154,1
512,0101025,85487881,1
513,0101025,33819055,1
514,0101025,55085999,1
515,0101025,40501370,1
516,0101025,08266487,1
517,0101025,70833898,1
518,0101025,20243457,1
519,0101025,20451614,1
520,0201026,47202459,1
521,0201026,46927463,1
522,0201026,47782924,1
523,0201026,16817612,1
524,0201026,51757291,1
525,0201026,45809641,1
526,0201026,86256288,1
527,0201026,04051661,1
528,0201026,55250702,1
529,0201026,67097790,1
530,0201026,72701124,1
531,0201026,39801472,1
532,0201026,85289542,1
533,0201026,75481421,1
534,0201026,08659231,1
535,0201026,84301262,1
536,0201026,56175788,1
537,0201026,38531951,1
538,0201026,29846180,1
539,0201026,01989888,1
540,0301027,29441452,1
541,0301027,75714659,1
542,0301027,18061883,1
543,0301027,14179096,1
544,0301027,55444896,1
545,0301027,53015756,1
546,0301027,27663406,1
547,0301027,54795681,1
548,0301027,32087807,1
549,0301027,43334349,1
550,0301027,85873760,1
551,0301027,02454518,1
552,0301027,67787831,1
553,0301027,36998811,1
554,0301027,11508869,1
555,0301027,38969029,1
556,0301027,59589268,1
557,0301027,31923161,1
558,0301027,49184877,1
559,0301027,70306478,1
560,0401028,33644495,1
561,0401028,23088520,1
562,0401028,26498970,1
563,0401028,29696557,1
564,0401028,75066419,1
565,0401028,90071439,1
566,0401028,62905228,1
567,0401028,94319260,1
568,0401028,85012084,1
569,0401028,88760254,1
570,0401028,84418183,1
571,0401028,71716274,1
572,0401028,41739612,1
573,0401028,88448579,1
574,0401028,32356066,1
575,0401028,96324440,1
576,0401028,63716044,1
577,0401028,60715106,1
578,0401028,00025051,1
579,0401028,16256947,1
580,0501029,66351955,1
581,0501029,70694905,1
582,0501029,70828332,1
583,0501029,94306497,1
584,0501029,92417175,1
585,0501029,72407157,1
586,0501029,69178330,1
587,0501029,43746202,1
588,0501029,73156866,1
589,0501029,57755934,1
590,0501029,45784349,1
591,0501029,41922022,1
592,0501029,04726891,1
593,0501029,56615803,1
594,0501029,06149682,1
595,0501029,04866032,1
596,0501029,20533519,1
597,0501029,52478532,1
598,0501029,69955468,1
599,0501029,43046173,1
600,0001030,29963706,1
601,0001030,17438960,1
602,0001030,96087348,1
603,0001030,70320300,1
604,0001030,07687700,1
605,0001030,27098654,1
606,0001030,56967632,1
607,0001030,86522319,1
608,0001030,14190503,1
609,0001030,17439408,1
610,0001030,24974343,1
611,0001030,70916146,1
612,0001030,45287457,1
613,0001030,75745484,1
614,0001030,72323178,1
615,0001030,69950383,1
616,0001030,20494138,1
617,0001030,30590703,1
618,0001030,59253347,1
619,0001030,16924138,1
620,0101031,58881257,1
621,0101031,51031665,1
622,0101031,40740091,1
623,0101031,65692177,1
624,0101031,19345666,1
625,0101031,16528331,1
626,0101031,43946463,1
627,0101031,79208772,1
628,0101031,72849569,1
629,0101031,26220119,1
630,0101031,21699683,1
631,0101031,27679245,1
632,0101031,20079692,1
633,0101031,34001816,1
634,0101031,37804012,1
635,0101031,85758750,1
636,0101031,63020479,1
637,0101031,93605330,1
638,0101031,23539704,1
639,0101031,64116725,1
640,0201032,90976493,1
641,0201032,45544265,1
642,0201032,34535179,1
643,0201032,49812636,1
644,0201032,78720700,1
645,0201032,39976752,1
646,0201032,69599905,1
647,0201032,34630813,1
648,0201032,29801104,1
649,0201032,45440833,1
650,0201032,24839572,1
651,0201032,84553021,1
652,0201032,18790957,1
653,0201032,22177280,1
654,0201032,27993315,1
655,0201032,28637204,1
656,0201032,37717777,1
657,0201032,31177761,1
658,0201032,09114253,1
659,0201032,25177837,1
660,0301033,67230948,1
661,0301033,99418866,1
662,0301033,08366183,1
663,0301033,45742099,1
664,0301033,36263045,1
665,0301033,42081270,1
666,0301033,48228758,1
667,0301033,34301315,1
668,0301033,52981624,1
669,0301033,06663196,1
670,0301033,57240392,1
671,0301033,73154613,1
672,0301033,32080640,1
673,0301033,10837022,1
674,0301033,13994453,1
675,0301033,52061353,1
676,0301033,38133543,1
677,0301033,27874510,1
678,0301033,41055903,1
679,0301033,75767036,1
680,0401034,89119686,1
681,0401034,59536425,1
682,0401034,06042639,1
683,0401034,21479679,1
684,0401034,63820000,1
685,0401034,53346594,1
686,0401034,94866305,1
687,0401034,08624434,1
688,0401034,15006914,1
689,0401034,18576995,1
690,0401034,99422892,1
691,0401034,77203110,1
692,0401034,13836503,1
693,0401034,83944580,1
694,0401034,90779101,1
695,0401034,38502390,1
696,0401034,92698549,1
697,0401034,99160566,1
698,0401034,42800792,1
699,0401034,19962801,1
700,0501035,64308545,1
701,0501035,34642556,1
702,0501035,09454551,1
703,0501035,03194999,1
704,0501035,22489488,1
705,0501035,41038967,1
706,0501035,15215067,1
707,0501035,66580399,1
708,0501035,75406440,1
709,0501035,00986508,1
710,0501035,14160562,1
711,0501035,78119739,1
712,0501035,24774322,1
713,0501035,45851370,1
714,0501035,40088408,1
715,0501035,67728779,1
716,0501035,49763958,1
717,0501035,96186083,1
718,0501035,32174922,1
719,0501035,45749646,1
720,0001036,84788518,1
721,0001036,96707419,1
722,0001036,31204769,1
723,0001036,24234527,1
724,0001036,30502976,1
725,0001036,95500602,1
726,0001036,34719870,1
727,0001036,40633507,1
728,0001036,33396321,1
729,0001036,72485675,1
730,0001036,27147140,1
731,0001036,69989904,1
732,0001036,42209406,1
733,0001036,49529245,1
734,0001036,03551381,1
735,0001036,74126931,1
736,0001036,24345450,1
737,0001036,04248557,1
738,0001036,08720291,1
739,0001036,63161993,1
740,0101037,46335339,1
741,0101037,92195341,1
742,0101037,75207574,1
743,0101037,34765345,1
744,0101037,83483001,1
745,0101037,84524680,1
746,0101037,80899969,1
747,0101037,78010482,1
748,0101037,40488345,1
749,0101037,60468925,1
750,0101037,25174160,1
751,0101037,28377448,1
752,0101037,66857607,1
753,0101037,72518771,1
754,0101037,17339916,1
755,0101037,95147929,1
756,0101037,45013586,1
757,0101037,56801709,1
758,0101037,57521453,1
759,0101037,86191597,1
760,0201038,25692269,1
761,0201038,36673321,1
762,0201038,65832257,1
763,0201038,88576816,1
764,0201038,07300285,1
765,0201038,19799054,1
766,0201038,82495580,1
767,0201038,32936684,1
768,0201038,92981464,1
769,0201038,33526078,1
770,0201038,52182259,1
771,0201038,92196978,1
772,0201038,53061748,1
773,0201038,42412906,1
774,0201038,45626000,1
775,0201038,15398752,1
776,0201038,17407330,1
777,0201038,31115711,1
778,0201038,29365529,1
779,0201038,18927862,1
780,0301039,59569874,1
781,0301039,17477722,1
782,0301039,44735471,1
783,0301039,06055160,1
784,0301039,28990110,1
785,0301039,08903715,1
786,0301039,07633315,1
787,0301039,50081157,1
788,0301039,71133671,1
789,0301039,33475974,1
790,0301039,90562422,1
791,0301039,27588020,1
792,0301039,38887362,1
793,0301039,74881824,1
794,0301039,16105468,1
795,0301039,09915467,1
796,0301039,23821979,1
797,0301039,67063494,1
798,0301039,08120064,1
799,0301039,89975594,1
800,0401040,17897086,1
801,0401040,64937258,1
802,0401040,76041302,1
803,0401040,50957469,1
804,0401040,77965409,1
805,0401040,13417303,1
806,0401040,06209582,1
807,0401040,20242531,1
808,0401040,32058498,1
809,0401040,74700594,1
810,0401040,14745394,1
811,0401040,53082021,1
812,0401040,76045031,1
813,0401040,87886844,1
814,0401040,37897464,1
815,0401040,58805180,1
816,0401040,75028887,1
817,0401040,05933305,1
818,0401040,76597030,1
819,0401040,60147199,1
820,0501041,77377624,1
821,0501041,00418455,1
822,0501041,62563577,1
823,0501041,22204440,1
824,0501041,75078028,1
825,0501041,14830984,1
826,0501041,40593141,1
827,0501041,42240671,1
828,0501041,62869307,1
829,0501041,82938172,1
830,0501041,43827527,1
831,0501041,56149259,1
832,0501041,06371243,1
833,0501041,55466051,1
834,0501041,56851189,1
835,0501041,86894401,1
836,0501041,28610312,1
837,0501041,01916400,1
838,0501041,14438149,1
839,0501041,90780880,1
840,0001042,31813571,1
841,0001042,38968220,1
842,0001042,41929402,1
843,0001042,15230349,1
844,0001042,85547715,1
845,0001042,32163688,1
846,0001042,35767871,1
847,0001042,73401260,1
848,0001042,20515884,1
849,0001042,88664784,1
850,0001042,73386383,1
851,0001042,84162156,1
852,0001042,90741015,1
853,0001042,17527260,1
854,0001042,10783475,1
855,0001042,10631542,1
856,0001042,83903648,1
857,0001042,06085694,1
858,0001042,81383192,1
859,0001042,58518683,1
860,0101043,39919174,1
861,0101043,04064845,1
862,0101043,14501198,1
863,0101043,16492750,1
864,0101043,43809301,1
865,0101043,52242953,1
866,0101043,10477120,1
867,0101043,84030887,1
868,0101043,56551228,1
869,0101043,47840178,1
870,0101043,85463254,1
871,0101043,37135252,1
872,0101043,61541287,1
873,0101043,77393774,1
874,0101043,56428822,1
875,0101043,22774240,1
876,0101043,47672942,1
877,0101043,69205533,1
878,0101043,15589919,1
879,0101043,48171125,1
880,0201044,24449495,1
881,0201044,28703162,1
882,0201044,47806161,1
883,0201044,87834901,1
884,0201044,99046458,1
885,0201044,99031229,1
886,0201044,80941042,1
887,0201044,81398464,1
888,0201044,75100830,1
889,0201044,94061382,1
890,0201044,54807996,1
891,0201044,40397304,1
892,0201044,41353170,1
893,0201044,30040436,1
894,0201044,74962492,1
895,0201044,46333171,1
896,0201044,61195381,1
897,0201044,20994691,1
898,0201044,01122575,1
899,0201044,91460771,1
900,0301045,68935960,1
901,0301045,98149465,1
902,0301045,59802466,1
903,0301045,95123933,1
904,0301045,39627929,1
905,0301045,11588374,1
906,0301045,45681248,1
907,0301045,49240138,1
908,0301045,11581231,1
909,0301045,59591638,1
910,0301045,91192470,1
911,0301045,13135919,1
912,0301045,47227128,1
913,0301045,84830346,1
914,0301045,49244135,1
915,0301045,17796128,1
916,0301045,11732228,1
917,0301045,85131002,1
918,0301045,85768045,1
919,0301045,58834367,1
920,0401046,23176133,1
921,0401046,43180075,1
922,0401046,83723776,1
923,0401046,37441344,1
924,0401046,47483181,1
925,0401046,08598373,1
926,0401046,43433410,1
927,0401046,58573428,1
928,0401046,71130276,1
929,0401046,37882494,1
930,0401046,62953469,1
931,0401046,95755088,1
932,0401046,00768061,1
933,0401046,12272822,1
934,0401046,21641775,1
935,0401046,08639014,1
936,0401046,31086462,1
937,0401046,47532721,1
938,0401046,21260968,1
939,0401046,87490402,1
940,0501047,24886982,1
941,0501047,36540870,1
942,0501047,89895272,1
943,0501047,51596382,1
944,0501047,61213377,1
945,0501047,05244498,1
946,0501047,19838707,1
947,0501047,44202982,1
948,0501047,57570824,1
949,0501047,63834999,1
950,0501047,01528473,1
951,0501047,34426859,1
952,0501047,27085834,1
953,0501047,07967919,1
954,0501047,01164762,1
955,0501047,30551411,1
956,0501047,49488810,1
957,0501047,25842625,1
958,0501047,96525049,1
959,0501047,97799845,1
960,0001048,21406000,1
961,0001048,25796400,1
962,0001048,71988654,1
963,0001048,48609799,1
964,0001048,45711610,1
965,0001048,70969319,1
966,0001048,91575570,1
967,0001048,52230981,1
968,0001048,84766974,1
969,0001048,82880622,1
970,0001048,89222386,1
971,0001048,83531645,1
972,0001048,37045039,1
973,0001048,19327151,1
974,0001048,72224735,1
975,0001048,76496009,1
976,0001048,93903648,1
977,0001048,34501745,1
978,0001048,22443758,1
979,0001048,29866701,1
980,0101049,61471315,1
981,0101049,12203612,1
982,0101049,30917707,1
983,0101049,12033471,1
984,0101049,47608424,1
985,0101049,76029621,1
986,0101049,38508902,1
987,0101049,50382610,1
988,0101049,19303914,1
989,0101049,94021292,1
990,0101049,58767175,1
991,0101049,23489198,1
992,0101049,82619492,1
993,0101049,87881997,1
994,0101049,48459369,1
995,0101049,54062331,1
996,0101049,68080753,1
997,0101049,23698875,1
998,0101049,89174017,1
999,0101049,58442167,1
1000,0201050,79195189,1
1001,0201050,65208756,1
1002,0201050,21552862,1
1003,0201050,29289976,1
1004,0201050,21769891,1
1005,0201050,32210786,1
1006,0201050,52791034,1
1007,0201050,95117351,1
1008,0201050,39797506,1
1009,0201050,16202975,1
1010,0201050,87068742,1
1011,0201050,13622410,1
1012,0201050,42502101,1
1013,0201050,36509151,1
1014,0201050,87267582,1
1015,0201050,40352523,1
1016,0201050,51990634,1
1017,0201050,00543020,1
1018,0201050,26173730,1
1019,0201050,55996246,1
1020,0301051,44422767,1
1021,0301051,31776143,1
1022,0301051,09917138,1
1023,0301051,15651594,1
1024,0301051,93475190,1
1025,0301051,33146690,1
1026,0301051,14326533,1
1027,0301051,92020757,1
1028,0301051,33166540,1
1029,0301051,59660365,1
1030,0301051,79268924,1
1031,0301051,69766830,1
1032,0301051,12146739,1
1033,0301051,75939844,1
1034,0301051,16384873,1
1035,0301051,73325141,1
1036,0301051,13857567,1
1037,0301051,85990908,1
1038,0301051,07866424,1
1039,0301051,37476727,1
1040,0401052,36349183,1
1041,0401052,96845939,1
1042,0401052,29201908,1
1043,0401052,87020092,1
1044,0401052,38800646,1
1045,0401052,11123077,1
1046,0401052,65647206,1
1047,0401052,29021138,1
1048,0401052,17377771,1
1049,0401052,01542621,1
1050,0401052,93064307,1
1051,0401052,00662486,1
1052,0401052,74584155,1
1053,0401052,83234969,1
1054,0401052,22019186,1
1055,0401052,55684259,1
1056,0401052,26249384,1
1057,0401052,67659210,1
1058,0401052,08560724,1
1059,0401052,37731411,1
1060,0501053,82683940,1
1061,0501053,40739584,1
1062,0501053,18368488,1
1063,0501053,58297538,1
1064,0501053,26491025,1
1065,0501053,00312778,1
1066,0501053,99784242,1
1067,0501053,05699625,1
1068,0501053,07939145,1
1069,0501053,54630222,1
1070,0501053,13742547,1
1071,0501053,00220237,1
1072,0501053,21770850,1
1073,0501053,42399939,1
1074,0501053,06202801,1
1075,0501053,10213993,1
1076,0501053,73490962,1
1077,0501053,98969405,1
1078,0501053,88422858,1
1079,0501053,96484668,1
1080,0001054,65746962,1
1081,0001054,29868405,1
1082,0001054,35507615,1
1083,0001054,54420826,1
1084,0001054,23737936,1
1085,0001054,78553224,1
1086,0001054,72968096,1
1087,0001054,08851284,1
1088,0001054,18537309,1
1089,0001054,17871547,1
1090,0001054,54204010,1
1091,0001054,42691756,1
1092,0001054,89150486,1
1093,0001054,86533616,1
1094,0001054,80557457,1
1095,0001054,34039002,1
1096,0001054,90358605,1
1097,0001054,75391567,1
1098,0001054,09908858,1
1099,0001054,15642236,1
1100,0101055,09672071,1
1101,0101055,60297003,1
1102,0101055,58931534,1
1103,0101055,13049930,1
1104,0101055,85174672,1
1105,0101055,49684004,1
1106,0101055,23769184,1
1107,0101055,28892287,1
1108,0101055,45382454,1
1109,0101055,29809212,1
1110,0101055,78817730,1
1111,0101055,95151757,1
1112,0101055,93415816,1
1113,0101055,04730069,1
1114,0101055,99782146,1
1115,0101055,17461134,1
1116,0101055,38343974,1
1117,0101055,90725098,1
1118,0101055,62926367,1
1119,0101055,15339105,1
1120,0201056,04275588,1
1121,0201056,10598489,1
1122,0201056,60728197,1
1123,0201056,40239702,1
1124,0201056,06184785,1
1125,0201056,21577879,1
1126,0201056,41433510,1
1127,0201056,28703108,1
1128,0201056,48389558,1
1129,0201056,25404852,1
1130,0201056,72229968,1
1131,0201056,30304595,1
1132,0201056,88939808,1
1133,0201056,25245232,1
1134,0201056,98216777,1
1135,0201056,78649165,1
1136,0201056,58367453,1
1137,0201056,62368153,1
1138,0201056,46974982,1
1139,0201056,40054977,1
1140,0301057,69310737,1
1141,0301057,24974729,1
1142,0301057,40147234,1
1143,0301057,71351739,1
1144,0301057,02687079,1
1145,0301057,44799166,1
1146,0301057,87242022,1
1147,0301057,18368045,1
1148,0301057,85556617,1
1149,0301057,42039190,1
1150,0301057,29437569,1
1151,0301057,19058683,1
