isbn,title,author,publisher,publish_year,place_published,picture,link
07774631,论 xxxxx 在 xxxxx 中的应用,丁如风,北京外国语大学出版社,1991-05-26,济南,,www.xxxxx.com
96523775,xxx improves yyy,丁如风,北京航空航天大学出版社,2018-02-04,合肥,,www.xxxxx.com
96494012,论 xxxx,丁如风,商务印书馆,2006-11-15,济南,,www.xxxxx.com
63349027,xxx 在 zzz 时促进了 yyy,丁如风,北京大学出版社,2000-06-25,重庆,,www.xxxxx.com
90150931,论 xxxxx 在 xxxxx 中的应用,丁如风,南京农业大学出版社,2020-09-12,苏州,,www.xxxxx.com
08777454,xxx improves yyy,朱慧艳,河北师范大学出版社,2013-03-17,昆明,,www.xxxxx.com
31062337,xxxxx 浅析,朱慧艳,河北科技大学出版社,2006-08-09,武汉,,www.xxxxx.com
65792323,xxxxx 浅析,朱慧艳,北京航空航天大学出版社,2020-09-03,济南,,www.xxxxx.com
39412555,xxx has facilitated yyy,朱慧艳,南京理工大学出版社,2015-12-05,太原,,www.xxxxx.com
49358800,xxxxx 刍议,朱慧艳,人民音乐出版社,2011-02-02,南昌,,www.xxxxx.com
40802345,论 xxxxx 在 xxxxx 中的应用,朱慧艳,北京电子科技学院出版社,2020-12-21,南宁,,www.xxxxx.com
35632092,xxxxx 刍议,朱慧艳,人民美术出版社,2000-05-04,天津,,www.xxxxx.com
18787170,xxxx 对 yyy 有重大影响,朱慧艳,人民美术出版社,2004-02-14,南昌,,www.xxxxx.com
30414391,xxxxx 浅析,朱慧艳,人民音乐出版社,2022-03-24,厦门,,www.xxxxx.com
19209754,xxxx 对 yyy 有重大影响,朱慧艳,南京农业大学出版社,2017-07-17,郑州,,www.xxxxx.com
15613437,xxx 在 zzz 时促进了 yyy,朱慧艳,北京科技大学出版社,1999-10-11,厦门,,www.xxxxx.com
01057287,xxx improves yyy,朱慧艳,河北科技大学出版社,2009-09-04,哈尔滨,,www.xxxxx.com
46722130,xxx 在 zzz 时促进了 yyy,朱慧艳,北京语言大学出版社,2015-10-16,兰州,,www.xxxxx.com
65548838,xxx 在 zzz 时促进了 yyy,朱慧艳,北京印刷学院出版社,2014-02-02,上海,,www.xxxxx.com
93841270,xxxxx 刍议,朱慧艳,南京航空航天大学出版社,1990-10-21,北京,,www.xxxxx.com
90626242,xxxxx 小议,朱慧艳,人民美术出版社,1997-03-16,长春,,www.xxxxx.com
19276538,xxxx 对 yyy 有重大影响,朱慧艳,商务印书馆,1991-04-21,厦门,,www.xxxxx.com
59231500,xxxxx 小议,朱慧艳,北京外国语大学出版社,2014-11-23,南京,,www.xxxxx.com
80236523,xxx has facilitated yyy,朱慧艳,南京航空航天大学出版社,2017-02-21,深圳,,www.xxxxx.com
27675886,xxxxx 刍议,朱慧艳,人民美术出版社,2007-11-10,南宁,,www.xxxxx.com
13983829,xxxxx 浅析,石友儿,清华大学出版社,2010-05-02,合肥,,www.xxxxx.com
92852945,论 xxxxx 在 xxxxx 中的应用,石友儿,北京语言大学出版社,1995-05-04,合肥,,www.xxxxx.com
17972266,xxxxx 浅析,石友儿,北京科技大学出版社,2015-01-07,南京,,www.xxxxx.com
04717797,xxxx 对 yyy 有重大影响,石友儿,河北师范大学出版社,2017-10-17,贵阳,,www.xxxxx.com
87763423,论 xxxxx 在 xxxxx 中的应用,石友儿,南京航空航天大学出版社,1995-06-12,西宁,,www.xxxxx.com
99221664,xxxxx 刍议,石友儿,苏州大学出版社,2006-03-27,合肥,,www.xxxxx.com
51261955,xxxxx 小议,石友儿,北京邮电大学出版社,2021-03-18,福州,,www.xxxxx.com
03615791,xxxx 对 yyy 有重大影响,石友儿,河北工业大学出版社,2022-07-17,天津,,www.xxxxx.com
59674832,xxxxx 小议,石友儿,北京外国语大学出版社,2006-09-04,哈尔滨,,www.xxxxx.com
15317363,xxx improves yyy,石友儿,商务印书馆,2004-12-24,哈尔滨,,www.xxxxx.com
24159704,xxx has facilitated yyy,石友儿,北京邮电大学出版社,2004-10-16,青岛,,www.xxxxx.com
06031859,xxx 在 zzz 时促进了 yyy,石友儿,南京航空航天大学出版社,2016-11-04,成都,,www.xxxxx.com
11961356,xxx 在 zzz 时促进了 yyy,石友儿,南京航空航天大学出版社,1997-11-20,南宁,,www.xxxxx.com
65370801,xxxxx 刍议,石友儿,清华大学出版社,2004-07-08,南昌,,www.xxxxx.com
07561154,xxxxx 小议,石友儿,河北师范大学出版社,1999-04-26,太原,,www.xxxxx.com
51443102,xxxx 对 yyy 有重大影响,石友儿,北京语言大学出版社,2016-06-19,深圳,,www.xxxxx.com
09316947,xxx improves yyy,石友儿,南京农业大学出版社,2002-02-10,青岛,,www.xxxxx.com
30995886,xxxxx 刍议,石友儿,北京语言大学出版社,1992-06-08,北京,,www.xxxxx.com
23483101,xxxxx 小议,石友儿,人民邮电出版社,1994-01-21,济南,,www.xxxxx.com
20134557,xxxxx 浅析,石友儿,苏州大学出版社,2008-02-26,石家庄,,www.xxxxx.com
15202300,xxx has facilitated yyy,蒋柳思,北京邮电大学出版社,2013-08-24,北京,,www.xxxxx.com
42383015,论 xxxx,蒋柳思,苏州大学出版社,2007-03-10,西安,,www.xxxxx.com
50746668,xxx improves yyy,蒋柳思,人民教育出版社,1997-04-01,西宁,,www.xxxxx.com
24487833,论 xxxx,蒋柳思,北京邮电大学出版社,1994-12-02,大连,,www.xxxxx.com
56717690,xxx has facilitated yyy,蒋柳思,人民音乐出版社,2007-02-22,武汉,,www.xxxxx.com
67367338,xxxxx 小议,蒋柳思,北京体育大学出版社,1990-06-13,长春,,www.xxxxx.com
54265926,xxxxx 小议,蒋柳思,北京语言大学出版社,2021-12-10,重庆,,www.xxxxx.com
32601083,xxx has facilitated yyy,蒋柳思,河北师范大学出版社,2000-08-13,贵阳,,www.xxxxx.com
48276338,论 xxxx,蒋柳思,南京理工大学出版社,2015-10-26,杭州,,www.xxxxx.com
92072305,xxx has facilitated yyy,蒋柳思,北京大学出版社,2016-04-11,西宁,,www.xxxxx.com
94128888,论 xxxx,蒋柳思,人民邮电出版社,2023-04-15,成都,,www.xxxxx.com
37119463,xxxxx 刍议,蒋柳思,苏州大学出版社,2015-10-05,南京,,www.xxxxx.com
67496575,xxxxx 刍议,蒋柳思,河北工业大学出版社,2016-08-05,长春,,www.xxxxx.com
36136931,xxx has facilitated yyy,蒋柳思,北京师范大学出版社,1990-06-08,青岛,,www.xxxxx.com
77901395,xxxxx 小议,蒋柳思,河北工业大学出版社,1992-09-23,青岛,,www.xxxxx.com
18059709,xxxx 对 yyy 有重大影响,蒋柳思,人民音乐出版社,2004-02-05,青岛,,www.xxxxx.com
02476706,xxxx 对 yyy 有重大影响,蒋柳思,商务印书馆,1998-09-08,上海,,www.xxxxx.com
26191454,xxx 在 zzz 时促进了 yyy,蒋柳思,北京师范大学出版社,2012-07-03,哈尔滨,,www.xxxxx.com
65414311,xxxxx 刍议,蒋柳思,北京理工大学出版社,2009-04-18,南宁,,www.xxxxx.com
09554960,xxxx 对 yyy 有重大影响,蒋柳思,北京电子科技学院出版社,1990-04-10,南宁,,www.xxxxx.com
01889919,xxxx 对 yyy 有重大影响,何玄清,人民音乐出版社,2020-07-06,沈阳,,www.xxxxx.com
66231051,论 xxxx,何玄清,北京科技大学出版社,2006-04-24,贵阳,,www.xxxxx.com
68576277,论 xxxx,何玄清,北京科技大学出版社,2013-02-04,兰州,,www.xxxxx.com
32614090,xxx has facilitated yyy,何玄清,北京电子科技学院出版社,2007-11-07,沈阳,,www.xxxxx.com
73997543,xxx has facilitated yyy,何玄清,人民教育出版社,2013-05-14,深圳,,www.xxxxx.com
13044469,论 xxxxx 在 xxxxx 中的应用,何玄清,北京航空航天大学出版社,1998-08-10,昆明,,www.xxxxx.com
96108710,xxxxx 刍议,何玄清,河北师范大学出版社,2006-01-28,哈尔滨,,www.xxxxx.com
20527264,xxxx 对 yyy 有重大影响,何玄清,河北农业大学出版社,2008-08-10,南京,,www.xxxxx.com
13954449,论 xxxxx 在 xxxxx 中的应用,何玄清,北京航空航天大学出版社,1991-12-10,南京,,www.xxxxx.com
71447934,xxx has facilitated yyy,何玄清,南京理工大学出版社,1997-02-09,广州,,www.xxxxx.com
37004692,xxx has facilitated yyy,何玄清,北京语言大学出版社,2012-04-15,郑州,,www.xxxxx.com
83144721,xxxxx 刍议,何玄清,南京理工大学出版社,2000-04-02,上海,,www.xxxxx.com
65294940,xxx improves yyy,何玄清,人民邮电出版社,2015-01-02,成都,,www.xxxxx.com
69261699,论 xxxxx 在 xxxxx 中的应用,何玄清,北京科技大学出版社,1994-10-28,西宁,,www.xxxxx.com
25016486,xxx has facilitated yyy,何玄清,北京大学出版社,2010-06-24,哈尔滨,,www.xxxxx.com
98476275,xxx 在 zzz 时促进了 yyy,何玄清,人民教育出版社,2010-11-18,西宁,,www.xxxxx.com
10975706,xxxx 对 yyy 有重大影响,何玄清,南京农业大学出版社,2020-02-26,成都,,www.xxxxx.com
53910973,xxx improves yyy,何玄清,清华大学出版社,2006-04-08,西宁,,www.xxxxx.com
83507671,论 xxxx,何玄清,南京农业大学出版社,2011-10-19,大连,,www.xxxxx.com
67788601,论 xxxx,何玄清,人民音乐出版社,2008-08-23,贵阳,,www.xxxxx.com
38380589,xxx has facilitated yyy,常寒凝,北京理工大学出版社,2009-12-09,深圳,,www.xxxxx.com
04772007,xxxxx 刍议,常寒凝,南京大学出版社,2013-09-10,太原,,www.xxxxx.com
97095234,xxxxx 刍议,常寒凝,清华大学出版社,2020-09-21,北京,,www.xxxxx.com
90940136,xxxx 对 yyy 有重大影响,常寒凝,河北人民出版社,2009-04-14,长沙,,www.xxxxx.com
59332888,论 xxxxx 在 xxxxx 中的应用,常寒凝,人民美术出版社,1996-11-15,南昌,,www.xxxxx.com
36468062,xxxx 对 yyy 有重大影响,常寒凝,南京理工大学出版社,1996-09-15,济南,,www.xxxxx.com
81747721,xxx has facilitated yyy,常寒凝,南京农业大学出版社,2019-11-26,沈阳,,www.xxxxx.com
62356958,xxx 在 zzz 时促进了 yyy,常寒凝,北京印刷学院出版社,2018-02-18,沈阳,,www.xxxxx.com
76908253,xxx 在 zzz 时促进了 yyy,常寒凝,北京体育大学出版社,1991-07-16,杭州,,www.xxxxx.com
01859715,xxxx 对 yyy 有重大影响,常寒凝,北京外国语大学出版社,2007-04-27,昆明,,www.xxxxx.com
03195353,论 xxxxx 在 xxxxx 中的应用,常寒凝,北京邮电大学出版社,2001-05-03,青岛,,www.xxxxx.com
57231239,论 xxxxx 在 xxxxx 中的应用,常寒凝,人民美术出版社,2016-05-16,上海,,www.xxxxx.com
49293579,xxx has facilitated yyy,常寒凝,北京印刷学院出版社,2003-08-04,长春,,www.xxxxx.com
33347118,论 xxxx,常寒凝,北京语言大学出版社,2020-03-12,太原,,www.xxxxx.com
53541622,xxx has facilitated yyy,常寒凝,河北农业大学出版社,1999-06-18,昆明,,www.xxxxx.com
57141232,xxx 在 zzz 时促进了 yyy,常寒凝,河北科技大学出版社,1995-05-15,昆明,,www.xxxxx.com
60988011,xxx 在 zzz 时促进了 yyy,常寒凝,人民教育出版社,2010-01-17,苏州,,www.xxxxx.com
49944310,xxxxx 小议,常寒凝,人民美术出版社,1995-12-15,苏州,,www.xxxxx.com
69254974,xxxxx 刍议,常寒凝,南京大学出版社,2023-03-01,长沙,,www.xxxxx.com
16066927,xxxxx 浅析,常寒凝,河北农业大学出版社,2007-06-13,长沙,,www.xxxxx.com
96102783,论 xxxxx 在 xxxxx 中的应用,卢蝶梦,清华大学出版社,2017-11-21,长沙,,www.xxxxx.com
48259807,xxx 在 zzz 时促进了 yyy,卢蝶梦,人民美术出版社,2008-03-01,长沙,,www.xxxxx.com
99100623,xxxx 对 yyy 有重大影响,卢蝶梦,北京理工大学出版社,2006-04-09,沈阳,,www.xxxxx.com
68192352,xxxxx 浅析,卢蝶梦,河北科技大学出版社,2001-09-17,上海,,www.xxxxx.com
32538116,xxxx 对 yyy 有重大影响,卢蝶梦,河北人民出版社,2018-04-13,兰州,,www.xxxxx.com
33507652,论 xxxx,卢蝶梦,河北医科大学出版社人民文学出版社,2011-06-12,北京,,www.xxxxx.com
35043077,xxxxx 浅析,卢蝶梦,商务印书馆,2022-05-04,深圳,,www.xxxxx.com
55094126,xxxxx 浅析,卢蝶梦,北京师范大学出版社,2023-11-23,成都,,www.xxxxx.com
47596120,xxxx 对 yyy 有重大影响,卢蝶梦,北京外国语大学出版社,1994-01-28,苏州,,www.xxxxx.com
54051131,xxxx 对 yyy 有重大影响,卢蝶梦,河北工业大学出版社,2002-09-26,广州,,www.xxxxx.com
40808656,论 xxxxx 在 xxxxx 中的应用,卢蝶梦,商务印书馆,2012-10-13,深圳,,www.xxxxx.com
14818793,xxx improves yyy,卢蝶梦,河北科技大学出版社,2003-03-02,天津,,www.xxxxx.com
25586343,xxxx 对 yyy 有重大影响,卢蝶梦,北京大学出版社,1993-04-14,深圳,,www.xxxxx.com
58196648,xxx has facilitated yyy,卢蝶梦,北京体育大学出版社,1997-08-19,重庆,,www.xxxxx.com
42808524,xxx improves yyy,卢蝶梦,苏州大学出版社,2007-02-10,深圳,,www.xxxxx.com
44058748,xxxxx 小议,卢蝶梦,北京印刷学院出版社,2002-08-05,哈尔滨,,www.xxxxx.com
06987069,xxxxx 小议,卢蝶梦,商务印书馆,1994-07-11,兰州,,www.xxxxx.com
28815061,xxx 在 zzz 时促进了 yyy,卢蝶梦,河北工业大学出版社,2022-09-22,西宁,,www.xxxxx.com
87928438,xxxx 对 yyy 有重大影响,卢蝶梦,北京体育大学出版社,2007-04-02,北京,,www.xxxxx.com
07727545,xxx improves yyy,卢蝶梦,北京语言大学出版社,1997-05-11,西宁,,www.xxxxx.com
51756630,xxxxx 刍议,林华琳,北京体育大学出版社,2010-04-05,长春,,www.xxxxx.com
95416613,xxxx 对 yyy 有重大影响,林华琳,北京科技大学出版社,2001-01-12,上海,,www.xxxxx.com
08427848,论 xxxx,林华琳,商务印书馆,2005-09-21,上海,,www.xxxxx.com
97560772,xxxxx 小议,林华琳,南京农业大学出版社,1990-05-13,海口,,www.xxxxx.com
82549397,论 xxxxx 在 xxxxx 中的应用,林华琳,南京航空航天大学出版社,2015-04-09,南昌,,www.xxxxx.com
45011268,xxx has facilitated yyy,林华琳,北京印刷学院出版社,1998-07-28,大连,,www.xxxxx.com
00378292,xxxxx 刍议,林华琳,北京体育大学出版社,2001-06-02,成都,,www.xxxxx.com
04593116,论 xxxxx 在 xxxxx 中的应用,林华琳,河北农业大学出版社,1996-02-01,西安,,www.xxxxx.com
88007150,xxx has facilitated yyy,林华琳,人民美术出版社,1990-12-11,北京,,www.xxxxx.com
52963406,论 xxxx,林华琳,南京航空航天大学出版社,2017-02-23,合肥,,www.xxxxx.com
28472220,xxxxx 刍议,林华琳,人民邮电出版社,2020-06-24,长春,,www.xxxxx.com
66297136,论 xxxx,林华琳,北京体育大学出版社,2000-09-07,南京,,www.xxxxx.com
82620638,xxxx 对 yyy 有重大影响,林华琳,北京科技大学出版社,2018-05-25,西宁,,www.xxxxx.com
72366422,论 xxxx,林华琳,河北农业大学出版社,2007-06-18,兰州,,www.xxxxx.com
42285822,xxxxx 小议,林华琳,北京语言大学出版社,2020-02-01,海口,,www.xxxxx.com
28406610,xxxxx 刍议,林华琳,河北科技大学出版社,2018-09-08,郑州,,www.xxxxx.com
75638173,xxx has facilitated yyy,林华琳,人民音乐出版社,2008-07-27,贵阳,,www.xxxxx.com
34102068,论 xxxx,林华琳,南京农业大学出版社,2003-11-17,济南,,www.xxxxx.com
93887511,xxxxx 浅析,林华琳,南京农业大学出版社,1996-05-27,太原,,www.xxxxx.com
74682694,xxxx 对 yyy 有重大影响,林华琳,北京外国语大学出版社,2011-02-19,北京,,www.xxxxx.com
27691717,xxx improves yyy,彭娴婉,清华大学出版社,1994-06-07,兰州,,www.xxxxx.com
58348590,xxxx 对 yyy 有重大影响,彭娴婉,南京航空航天大学出版社,2020-10-07,西安,,www.xxxxx.com
36381760,论 xxxxx 在 xxxxx 中的应用,彭娴婉,北京邮电大学出版社,2002-03-02,长春,,www.xxxxx.com
46408336,xxx has facilitated yyy,彭娴婉,苏州大学出版社,2012-01-03,昆明,,www.xxxxx.com
75534897,论 xxxx,彭娴婉,清华大学出版社,2007-04-26,长春,,www.xxxxx.com
37671118,论 xxxxx 在 xxxxx 中的应用,彭娴婉,河北农业大学出版社,2021-06-26,沈阳,,www.xxxxx.com
49792273,xxxx 对 yyy 有重大影响,彭娴婉,清华大学出版社,2000-10-01,沈阳,,www.xxxxx.com
93762925,xxxx 对 yyy 有重大影响,彭娴婉,南京理工大学出版社,2018-12-20,广州,,www.xxxxx.com
85446382,xxx improves yyy,彭娴婉,北京科技大学出版社,2007-12-27,太原,,www.xxxxx.com
18992136,xxxxx 小议,彭娴婉,人民邮电出版社,2023-03-07,成都,,www.xxxxx.com
35096209,xxxx 对 yyy 有重大影响,彭娴婉,北京语言大学出版社,2012-07-08,沈阳,,www.xxxxx.com
76689924,xxxxx 浅析,彭娴婉,人民美术出版社,2010-01-18,上海,,www.xxxxx.com
94980145,xxxx 对 yyy 有重大影响,彭娴婉,北京理工大学出版社,1995-09-18,天津,,www.xxxxx.com
00163597,论 xxxxx 在 xxxxx 中的应用,彭娴婉,北京科技大学出版社,2000-01-22,大连,,www.xxxxx.com
32769229,xxxx 对 yyy 有重大影响,彭娴婉,南京大学出版社,2008-12-25,青岛,,www.xxxxx.com
42182152,论 xxxx,彭娴婉,河北人民出版社,2004-05-21,贵阳,,www.xxxxx.com
54663371,xxx 在 zzz 时促进了 yyy,彭娴婉,北京外国语大学出版社,1999-06-21,厦门,,www.xxxxx.com
97046791,xxx 在 zzz 时促进了 yyy,彭娴婉,北京邮电大学出版社,2004-04-16,昆明,,www.xxxxx.com
88253954,xxxxx 浅析,彭娴婉,人民音乐出版社,1995-08-11,南昌,,www.xxxxx.com
37514800,xxx 在 zzz 时促进了 yyy,彭娴婉,南京理工大学出版社,1998-12-27,昆明,,www.xxxxx.com
86163594,xxxx 对 yyy 有重大影响,程惠芳,南京航空航天大学出版社,2009-02-16,济南,,www.xxxxx.com
39606888,xxx improves yyy,程惠芳,北京语言大学出版社,2009-02-12,南宁,,www.xxxxx.com
52014641,xxxxx 浅析,程惠芳,北京师范大学出版社,2020-06-21,广州,,www.xxxxx.com
04286143,论 xxxx,程惠芳,北京语言大学出版社,1994-05-10,南宁,,www.xxxxx.com
85777387,xxx 在 zzz 时促进了 yyy,程惠芳,河北师范大学出版社,1997-07-13,福州,,www.xxxxx.com
83563454,论 xxxx,程惠芳,河北医科大学出版社人民文学出版社,2017-03-17,海口,,www.xxxxx.com
69789393,xxxx 对 yyy 有重大影响,程惠芳,商务印书馆,2004-09-02,青岛,,www.xxxxx.com
07508760,论 xxxxx 在 xxxxx 中的应用,程惠芳,人民音乐出版社,1994-10-02,太原,,www.xxxxx.com
88536938,论 xxxxx 在 xxxxx 中的应用,程惠芳,北京体育大学出版社,2012-12-07,太原,,www.xxxxx.com
61183580,xxx has facilitated yyy,程惠芳,河北人民出版社,2000-08-22,济南,,www.xxxxx.com
57481360,xxxxx 浅析,程惠芳,南京航空航天大学出版社,2003-02-08,哈尔滨,,www.xxxxx.com
95925100,xxx improves yyy,程惠芳,北京理工大学出版社,2008-08-23,合肥,,www.xxxxx.com
64805610,xxxxx 刍议,程惠芳,南京农业大学出版社,1994-06-08,西安,,www.xxxxx.com
25707475,xxx 在 zzz 时促进了 yyy,程惠芳,苏州大学出版社,1998-07-16,重庆,,www.xxxxx.com
54262651,论 xxxxx 在 xxxxx 中的应用,程惠芳,河北工业大学出版社,2001-09-25,西宁,,www.xxxxx.com
20576923,xxxxx 刍议,程惠芳,北京外国语大学出版社,1994-03-14,重庆,,www.xxxxx.com
02987008,xxxx 对 yyy 有重大影响,程惠芳,南京理工大学出版社,2022-12-10,济南,,www.xxxxx.com
77199036,xxxxx 刍议,程惠芳,北京航空航天大学出版社,2013-01-03,大连,,www.xxxxx.com
86929904,xxxxx 浅析,程惠芳,南京农业大学出版社,2015-05-06,长沙,,www.xxxxx.com
29639982,xxxxx 浅析,程惠芳,河北科技大学出版社,1994-04-14,杭州,,www.xxxxx.com
50162563,论 xxxxx 在 xxxxx 中的应用,顾文敏,北京大学出版社,2017-06-28,西宁,,www.xxxxx.com
37043177,xxxxx 刍议,顾文敏,人民邮电出版社,2004-01-02,南昌,,www.xxxxx.com
73724918,xxx improves yyy,顾文敏,商务印书馆,1993-04-21,石家庄,,www.xxxxx.com
13276588,xxx has facilitated yyy,顾文敏,北京体育大学出版社,1999-06-19,贵阳,,www.xxxxx.com
55660186,xxxx 对 yyy 有重大影响,顾文敏,河北工业大学出版社,1996-07-20,青岛,,www.xxxxx.com
74377961,xxx has facilitated yyy,顾文敏,北京理工大学出版社,1997-12-14,南宁,,www.xxxxx.com
09571381,论 xxxxx 在 xxxxx 中的应用,顾文敏,人民音乐出版社,1996-08-15,兰州,,www.xxxxx.com
80234630,xxx has facilitated yyy,顾文敏,北京理工大学出版社,1990-08-23,长沙,,www.xxxxx.com
24065261,论 xxxxx 在 xxxxx 中的应用,顾文敏,北京体育大学出版社,1995-01-22,哈尔滨,,www.xxxxx.com
75369389,xxx improves yyy,顾文敏,河北师范大学出版社,2022-02-09,贵阳,,www.xxxxx.com
79843177,xxxxx 刍议,顾文敏,河北工业大学出版社,1992-08-20,广州,,www.xxxxx.com
92536162,论 xxxx,顾文敏,人民教育出版社,1992-03-24,沈阳,,www.xxxxx.com
92542883,论 xxxxx 在 xxxxx 中的应用,顾文敏,河北科技大学出版社,2006-11-25,青岛,,www.xxxxx.com
75220578,论 xxxxx 在 xxxxx 中的应用,顾文敏,人民教育出版社,2021-10-13,广州,,www.xxxxx.com
57791780,xxx improves yyy,顾文敏,北京师范大学出版社,1995-07-05,哈尔滨,,www.xxxxx.com
78382337,xxx 在 zzz 时促进了 yyy,顾文敏,南京理工大学出版社,2022-11-22,哈尔滨,,www.xxxxx.com
43454741,xxx 在 zzz 时促进了 yyy,顾文敏,河北工业大学出版社,2012-04-27,沈阳,,www.xxxxx.com
66078439,xxx improves yyy,顾文敏,北京印刷学院出版社,2001-02-03,济南,,www.xxxxx.com
04565022,xxxx 对 yyy 有重大影响,顾文敏,北京师范大学出版社,2003-07-01,贵阳,,www.xxxxx.com
27364881,xxxxx 小议,顾文敏,北京体育大学出版社,2005-07-22,南京,,www.xxxxx.com
55570257,论 xxxx,姚韫玉,清华大学出版社,2022-01-10,西宁,,www.xxxxx.com
56173950,xxx has facilitated yyy,姚韫玉,南京航空航天大学出版社,1991-10-23,南宁,,www.xxxxx.com
90316182,xxx has facilitated yyy,姚韫玉,北京体育大学出版社,2009-12-08,西安,,www.xxxxx.com
92174682,xxxxx 浅析,姚韫玉,南京理工大学出版社,1997-12-16,沈阳,,www.xxxxx.com
96806005,xxxxx 刍议,姚韫玉,河北人民出版社,2007-06-23,南昌,,www.xxxxx.com
22381949,xxx improves yyy,姚韫玉,北京航空航天大学出版社,2022-12-09,石家庄,,www.xxxxx.com
42843865,论 xxxxx 在 xxxxx 中的应用,姚韫玉,北京科技大学出版社,2004-04-14,青岛,,www.xxxxx.com
70846497,xxxxx 浅析,姚韫玉,苏州大学出版社,2005-11-02,沈阳,,www.xxxxx.com
86797557,论 xxxxx 在 xxxxx 中的应用,姚韫玉,南京理工大学出版社,2019-05-24,大连,,www.xxxxx.com
27922607,xxx 在 zzz 时促进了 yyy,姚韫玉,人民邮电出版社,1995-03-28,南宁,,www.xxxxx.com
62556736,xxxxx 刍议,姚韫玉,北京理工大学出版社,2020-04-28,石家庄,,www.xxxxx.com
21118934,xxx improves yyy,姚韫玉,河北人民出版社,2018-04-10,石家庄,,www.xxxxx.com
40763673,xxxx 对 yyy 有重大影响,姚韫玉,苏州大学出版社,2010-06-21,杭州,,www.xxxxx.com
37644309,xxx has facilitated yyy,姚韫玉,河北科技大学出版社,2016-10-01,合肥,,www.xxxxx.com
